2016-03-28 11:40:54,655 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18112:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53749, localBroker= vm://Broker-two#18108
2016-03-28 11:40:54,655 | INFO  | Network connection between vm://Broker-two#18108 and tcp://localhost/127.0.0.1:61619@53749 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53749, localBroker= vm://Broker-two#18108
2016-03-28 11:40:54,658 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-596
2016-03-28 11:40:59,695 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 11:40:59,701 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18114:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53751, localBroker= vm://Broker-two#18110
2016-03-28 11:40:59,701 | INFO  | Network connection between vm://Broker-two#18110 and tcp://localhost/127.0.0.1:61619@53751 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53751, localBroker= vm://Broker-two#18110
2016-03-28 11:40:59,703 | INFO  | Broker-two bridge to Broker-three stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[Broker-two] Task-600
2016-03-28 11:41:04,745 | INFO  | Establishing network connection from vm://Broker-two?async=false to tcp://localhost:61619 | org.apache.activemq.network.DiscoveryNetworkConnector | Notifier-MulticastDiscoveryAgent-listener:DiscoveryNetworkConnector:NC:BrokerService[Broker-two]
2016-03-28 11:41:04,748 | WARN  | Failed to add Connection Broker-two->Broker-three-62117-1458672456010-18116:1 due to javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.broker.TransportConnection | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53754, localBroker= vm://Broker-two#18112
2016-03-28 11:41:04,748 | INFO  | Network connection between vm://Broker-two#18112 and tcp://localhost/127.0.0.1:61619@53754 shutdown due to a local error: javax.jms.InvalidClientIDException: Broker: Broker-two - Client: NC_Broker-three_inbound_Broker-two already connected from vm://Broker-two#0 | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=tcp://localhost/127.0.0.1:61619@53754, localBroker= vm://Broker-two#18112
